Constituency,Tot_Constituency_votes_polled,Cons_vote_pct,Tot_parties_competed,District,Reserved,Lok_sabha_constituency,State_Name
Alandur,237751,0.5142063978383136,26,Kancheepuram,GENERAL,Sriperumbudur,Tamil Nadu
Alangudi,171842,0.3716588187529452,12,Pudukkottai,GENERAL,Sivaganga,Tamil Nadu
Alangulam,203478,0.44008096461989377,11,Tenkasi,GENERAL,Tirunelveli,Tamil Nadu
Ambasamudram,177681,0.38428737197450014,13,Tirunelveli,GENERAL,Tirunelveli,Tamil Nadu
Ambattur,240299,0.5197171965381803,24,Tiruvallur,GENERAL,Sriperumbudur,Tamil Nadu
Ambur,177878,0.3847134423606358,14,Tirupattur,GENERAL,Vellore,Tamil Nadu
Anaikattu,197805,0.4278114351754887,14,Vellore,GENERAL,Vellore,Tamil Nadu
Andipatti,209540,0.45319182086737897,21,Theni,GENERAL,Theni,Tamil Nadu
Anna Nagar,165096,0.35706861152009545,24,Chennai,GENERAL,Chennai Central,Tamil Nadu
Anthiyur,176385,0.3814843911601252,21,Erode,GENERAL,Tiruppur,Tamil Nadu
Arani,221422,0.4788901372534923,16,Tiruvannamalai,GENERAL,Arani,Tamil Nadu
Aravakurichi,177114,0.38306106786821115,41,Karur,GENERAL,Karur,Tamil Nadu
Arcot,209791,0.4537346821207803,13,Ranipet,GENERAL,Arakkonam,Tamil Nadu
Ariyalur,225225,0.4871152422203657,14,Ariyalur,GENERAL,Chidambaram,Tamil Nadu
Aruppukkottai,171201,0.3702724679026255,30,Virudhunagar,GENERAL,Virudhunagar,Tamil Nadu
Athoor,229940,0.4973128151677251,21,Dindigul,GENERAL,Dindigul,Tamil Nadu
Attur,199743,0.4320029296340216,12,Salem,SC,Kallakurichi,Tamil Nadu
Avadi,300927,0.6508430613637384,21,Tiruvallur,GENERAL,Tiruvallur,Tamil Nadu
Avanashi,212627,0.4598683654460637,13,Tiruppur,SC,Nilgiris,Tamil Nadu
Bargur,197784,0.4277660165048854,15,Krishnagiri,GENERAL,Krishnagiri,Tamil Nadu
Bhavani,201385,0.43555423711643176,15,Erode,GENERAL,Tiruppur,Tamil Nadu
Bhuvanagiri,197165,0.42642724711900715,15,Cuddalore,GENERAL,Chidambaram,Tamil Nadu
Bodinayakanur,214795,0.4645573024873946,25,Theni,GENERAL,Theni,Tamil Nadu
Chengalpattu,274087,0.5927936747450477,14,Chengalpattu,GENERAL,Kanchipuram,Tamil Nadu
Chengam,223950,0.484357680076594,16,Tiruvannamalai,SC,Tiruvannamalai,Tamil Nadu
Chepauk-Thiruvallikeni,137405,0.29717868734505204,27,Chennai,GENERAL,Chennai Central,Tamil Nadu
Cheyyar,214460,0.46383276655158007,16,Tiruvannamalai,GENERAL,Arani,Tamil Nadu
Coimbatore (North),202799,0.43861242760372043,21,NA,NA,NA,NA
Coonoor,135908,0.2939409849691884,11,Nilgiris,GENERAL,Nilgiris,Tamil Nadu
Cuddalore,182001,0.39363064135574993,16,Cuddalore,GENERAL,Cuddalore,Tamil Nadu
Cumbum,202275,0.4374791236324763,16,Theni,GENERAL,Theni,Tamil Nadu
Dharapuram,193991,0.41956253947639455,15,Tiruppur,SC,Erode,Tamil Nadu
Dharmapuri,217333,0.4700464732488788,22,Dharmapuri,GENERAL,Dharamapuri,Tamil Nadu
Dr.Radhakrishnan Nagar,187027,0.4045008431868058,32,NA,NA,NA,NA
Edappadi,247301,0.5348610789936226,29,Salem,GENERAL,Salem,Tamil Nadu
Egmore,119271,0.25795858388218557,19,Chennai,SC,Chennai Central,Tamil Nadu
Erode (West),205579,0.44462499447406173,16,Erode,GENERAL,Erode,Tamil Nadu
Gangavalli,186503,0.40336753921556157,12,Salem,SC,Kallakurichi,Tamil Nadu
Gingee,206880,0.4474387892576279,14,Viluppuram,GENERAL,Arani,Tamil Nadu
Gobichettipalayam,214281,0.46344562645453297,20,Erode,GENERAL,Tiruppur,Tamil Nadu
Gudalur,138257,0.299021387695243,8,Nilgiris,SC,Nilgiris,Tamil Nadu
Gudiyattam,211630,0.4577120599893261,16,Vellore,SC,Vellore,Tamil Nadu
Gummidipoondi,222069,0.48028946486684154,13,Tiruvallur,GENERAL,Tiruvallur,Tamil Nadu
Harbour,101650,0.21984799365834243,29,Chennai,GENERAL,Chennai Central,Tamil Nadu
Hosur,248098,0.5365848256827096,19,Krishnagiri,GENERAL,Krishnagiri,Tamil Nadu
Jayankondam,216368,0.4679593771949654,14,Ariyalur,GENERAL,Chidambaram,Tamil Nadu
Jolarpet,196358,0.4246818724915376,14,Tirupattur,GENERAL,Tiruvannamalai,Tamil Nadu
Kalasapakkam,196434,0.42484624482324485,16,Tiruvannamalai,GENERAL,Tiruvannamalai,Tamil Nadu
Kancheepuram,229432,0.49621411589789294,16,Kancheepuram,GENERAL,Kanchipuram,Tamil Nadu
Kangayam,199818,0.4321651391718905,27,Tiruppur,GENERAL,Erode,Tamil Nadu
Kanniyakumari,224874,0.48635610158313913,14,Kanniyakumari,GENERAL,Kanniyakumari,Tamil Nadu
Karur,207310,0.44836879060807644,78,Karur,GENERAL,Karur,Tamil Nadu
Katpadi,186246,0.40281170119913073,16,Vellore,GENERAL,Arakkonam,Tamil Nadu
Kavundampalayam,309918,0.6702887407634645,13,Coimbatore,GENERAL,Coimbatore,Tamil Nadu
Kilpennathur,203886,0.44096338450590067,22,Tiruvannamalai,GENERAL,Tiruvannamalai,Tamil Nadu
Kilvaithinankuppam,174124,0.3765943142918368,11,NA,NA,NA,NA
Kinathukadavu,232435,0.5027089857941645,15,Coimbatore,GENERAL,Pollachi,Tamil Nadu
Kolathur,173388,0.3750024980268832,37,Chennai,GENERAL,Chennai North,Tamil Nadu
