Constituency,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,%_of_Votes,Tot_Constituency_votes_polled,Tot_votes_by_parties,Winning_votes,Win_Lost_Flag
Alandur,T.M.Anbarasan,Dravida Munnetra Kazhagam,115777,1008,116785,49.12,237751,17430100,116785,True
Alandur,B.Valarmathi,All India Anna Dravida Munnetra Kazhagam,75634,580,76214,32.06,237751,15390974,116785,False
Alandur,N.Raja,Desiya Makkal Sakthi Katchi,261,4,265,0.11,237751,4125,116785,False
Alandur,G Kamalakannan,Tamil Nadu Ilangyar Katchi,1096,9,1105,0.46,237751,22953,116785,False
Alandur,Dr.R.Karthikeyan,Naam Tamilar Katchi,16453,53,16506,6.94,237751,3041974,116785,False
Alandur,Sarathbabu,Makkal Needhi Maiam,21045,72,21117,8.88,237751,1210337,116785,False
Alandur,Subashree,Anaithu Makkal Arasiyal Katchi,187,0,187,0.08,237751,3255,116785,False
Alandur,Dr.R.Suresh,Bhartiya Manavadhikaar Federal Party,63,0,63,0.03,237751,63,116785,False
Alandur,M Mohammed Thameem Ansari,SOCIAL DEMOCRATIC PARTY OF INDIA,1750,11,1761,0.74,237751,28051,116785,False
Alandur,Rajesh Chinnadurai,National Democratic Party of South India,54,6,60,0.03,237751,1073,116785,False
Alandur,J.Vincent,Republican Party of India (Athawale),36,10,46,0.02,237751,2510,116785,False
Alandur,E.Anbarasu,Independent,199,3,202,0.08,237751,643805,116785,False
Alandur,S.Anbarasu,Independent,84,0,84,0.04,237751,643805,116785,False
Alandur,M Anbarasu,Independent,108,0,108,0.05,237751,643805,116785,False
Alandur,M.Ashok Kumar,Independent,73,1,74,0.03,237751,643805,116785,False
Alandur,Ali Mohamed,Independent,219,1,220,0.09,237751,643805,116785,False
Alandur,A.Abrahamlincon,Independent,260,0,260,0.11,237751,643805,116785,False
Alandur,P.Sathiyaraj,Independent,140,0,140,0.06,237751,643805,116785,False
Alandur,K Saravanan,Independent,40,0,40,0.02,237751,643805,116785,False
Alandur,C Saravanan,Independent,39,1,40,0.02,237751,643805,116785,False
Alandur,S.V.Saravanan,Independent,56,0,56,0.02,237751,643805,116785,False
Alandur,Nithyanandham S,Independent,106,1,107,0.05,237751,643805,116785,False
Alandur,B Raji,Independent,28,0,28,0.01,237751,643805,116785,False
Alandur,M.Valarmathi,Independent,229,10,239,0.1,237751,643805,116785,False
Alandur,S.Sridhar,Independent,156,0,156,0.07,237751,643805,116785,False
Alandur,NOTA,None of the Above,1878,10,1888,0.79,237751,345538,116785,False
Alangudi,SIVA.V.MEYYANATHAN,Dravida Munnetra Kazhagam,86743,1192,87935,51.17,171842,17430100,87935,True
Alangudi,DHARMA THANGAVEL,All India Anna Dravida Munnetra Kazhagam,61918,170,62088,36.13,171842,15390974,87935,False
Alangudi,C.THIRUCHELVAM,Naam Tamilar Katchi,15403,74,15477,9.01,171842,3041974,87935,False
Alangudi,N.VAIRAVAN,Makkal Needhi Maiam,1221,9,1230,0.72,171842,1210337,87935,False
Alangudi,V.KANNADASAN,Independent,343,0,343,0.2,171842,643805,87935,False
Alangudi,T.VINAYAGAMOORTHY,Independent,199,0,199,0.12,171842,643805,87935,False
Alangudi,NOTA,None of the Above,699,3,702,0.41,171842,345538,87935,False
Alangudi,M.CHINNADURAI,Bahujan Samaj Party,442,2,444,0.26,171842,101326,87935,False
Alangudi,P.BALAMURUGAN,My India Party,179,1,180,0.1,171842,11602,87935,False
